"Common_Name","Scientific_Name"
"American Black Duck","Anas rubripes"
"American Crow","Corvus brachyrhynchos"
"American Kestrel","Falco sparverius"
"American Robin","Turdus migratorius"
"Bald Eagle","Haliaeetus leucocephalus"
"Belted Kingfisher","Megaceryle alcyon"
"Blue Jay","Cyanocitta cristata"
"Brown Creeper","Certhia americana"
"Bufflehead","Bucephala albeola"
"Canada Goose","Branta canadensis"
"Cedar Waxwing","Bombycilla cedrorum"
"Common Goldeneye","Bucephala clangula"
"Common Merganser","Mergus merganser"
"Common Raven","Corvus corax"
"Common Yellowthroat","Geothlypis trichas"
"Cooper's Hawk","Accipiter cooperii"
"Dark-eyed Junco","Junco hyemalis"
"Downy Woodpecker","Picoides pubescens"
"Eastern Screech-Owl","Megascops asio"
"European Starling","Sturnus vulgaris"
"Golden-crowned Kinglet","Regulus satrapa"
"Great Black-backed Gull","Larus marinus"
"Great Horned Owl","Bubo virginianus"
"Green-winged Teal","Anas crecca"
"Hairy Woodpecker","Picoides villosus"
"Herring Gull","Larus argentatus"
"Hooded Merganser","Lophodytes cucullatus"
"Horned Lark","Eremophila alpestris"
"House Sparrow","Passer domesticus"
"Mallard","Anas platyrhynchos"
"Merlin","Falco columbarius"
"Mourning Dove","Zenaida macroura"
"Mute Swan","Cygnus olor"
"Northern Cardinal","Cardinalis cardinalis"
"Northern Goshawk","Accipiter gentilis"
"Northern Mockingbird","Mimus polyglottos"
"Northern Shrike","Lanius excubitor"
"Pileated Woodpecker","Dryocopus pileatus"
"Red-bellied Woodpecker","Melanerpes carolinus"
"Red-breasted Nuthatch","Sitta canadensis"
"Red-tailed Hawk","Buteo jamaicensis"
"Ring-billed Gull","Larus delawarensis"
"Ruffed Grouse","Bonasa umbellus"
"Sharp-shinned Hawk","Accipiter striatus"
"Snow Bunting","Plectrophenax nivalis"
"Song Sparrow","Melospiza melodia"
"Swamp Sparrow","Melospiza georgiana"
"Trumpeter Swan","Cygnus buccinator"
"White-breasted Nuthatch","Sitta carolinensis"
"White-throated Sparrow","Zonotrichia albicollis"
"Wild Turkey","Meleagris gallopavo"
"American Wigeon","Anas americana"
"Barred Owl","Strix varia"
"Common Grackle","Quiscalus quiscula"
"Common Loon","Gavia immer"
"Gadwall","Anas strepera"
"Greater Scaup","Aythya marila"
"Hermit Thrush","Catharus guttatus"
"Iceland Gull","Larus glaucoides"
"Long-tailed Duck","Clangula hyemalis"
"Northern Harrier","Circus cyaneus"
"Red-breasted Merganser","Mergus serrator"
"Red-winged Blackbird","Agelaius phoeniceus"
"Redhead","Aythya americana"
"Ring-necked Duck","Aythya collaris"
"Tundra Swan","Cygnus columbianus"
"White-winged Scoter","Melanitta fusca"
"Gray Jay","Perisoreus canadensis"
"Lesser Scaup","Aythya affinis"
"Rough-legged Hawk","Buteo lagopus"
"White-winged Crossbill","Loxia leucoptera"
"Brown-headed Cowbird","Molothrus ater"
"Cackling Goose","Branta hutchinsii"
"Carolina Wren","Thryothorus ludovicianus"
"Eastern Bluebird","Sialia sialis"
"Glaucous Gull","Larus hyperboreus"
"Greater White-fronted Goose","Anser albifrons"
"House Wren","Troglodytes aedon"
"Lesser Black-backed Gull","Larus fuscus"
"Northern Flicker","Colaptes auratus"
"Rose-breasted Grosbeak","Pheucticus ludovicianus"
"Ruby-crowned Kinglet","Regulus calendula"
"Ruddy Duck","Oxyura jamaicensis"
"Sandhill Crane","Grus canadensis"
"Slaty-backed Gull","Larus schistisagus"
"White-crowned Sparrow","Zonotrichia leucophrys"
"Yellow-bellied Sapsucker","Sphyrapicus varius"
"Evening Grosbeak","Coccothraustes vespertinus"
"Horned Grebe","Podiceps auritus"
"Peregrine Falcon","Falco peregrinus"
"Turkey Vulture","Cathartes aura"
"Black-crowned Night-Heron","Nycticorax nycticorax"
"Brown Thrasher","Toxostoma rufum"
"Double-crested Cormorant","Phalacrocorax auritus"
"Dunlin","Calidris alpina"
"Eastern Towhee","Pipilo erythrophthalmus"
"Fox Sparrow","Passerella iliaca"
"Northern Pintail","Anas acuta"
"Northern Shoveler","Anas clypeata"
"Purple Sandpiper","Calidris maritima"
"Swainson's Thrush","Catharus ustulatus"
"Wood Duck","Aix sponsa"
"Bohemian Waxwing","Bombycilla garrulus"
"Eastern Phoebe","Sayornis phoebe"
"Pine Grosbeak","Pinicola enucleator"
"Red Crossbill","Loxia curvirostra"
"Killdeer","Charadrius vociferus"
"Snow Goose","Chen caerulescens"
"Tufted Titmouse","Baeolophus bicolor"
"Lapland Longspur","Calcarius lapponicus"
"Pied-billed Grebe","Podilymbus podiceps"
"Short-eared Owl","Asio flammeus"
"American Coot","Fulica americana"
"American Woodcock","Scolopax minor"
"Canvasback","Aythya valisineria"
"Gray Catbird","Dumetella carolinensis"
"Northern Saw-whet Owl","Aegolius acadicus"
"Red-necked Grebe","Podiceps grisegena"
"Red-shouldered Hawk","Buteo lineatus"
"Mountain Bluebird","Sialia currucoides"
"Golden Eagle","Aquila chrysaetos"
"Harlequin Duck","Histrionicus histrionicus"
"Long-eared Owl","Asio otus"
"Rusty Blackbird","Euphagus carolinus"
"Baltimore Oriole","Icterus galbula"
"Chipping Sparrow","Spizella passerina"
"Brewer's Blackbird","Euphagus cyanocephalus"
"Lincoln's Sparrow","Melospiza lincolnii"
"Surf Scoter","Melanitta perspicillata"
