"Location","Year","Num_Species_Reported"
"Guelph",2019,60
"Guelph",2020,71
"Guelph",2021,70
"Guelph",2022,68
"Kawartha",2019,41
"Kawartha",2020,53
"Kawartha",2021,53
"Kawartha",2022,43
"Kingston",2019,69
"Kingston",2020,79
"Kingston",2021,89
"Kingston",2022,84
"London",2019,76
"London",2020,80
"London",2021,74
"London",2022,79
"Peterborough",2019,55
"Peterborough",2020,64
"Peterborough",2021,70
"Peterborough",2022,65
"Toronto",2019,83
"Toronto",2020,95
"Toronto",2021,96
"Toronto",2022,91
